===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
80   0.275429  0.238146  0.241968  0.198517  0.030768     0.333333  0.608696  0.000000  1.000000       0.50
81   0.285894  0.255485  0.311747  0.271005  0.023942     0.333333  0.565217  0.000000  1.000000       0.50
82   0.309753  0.257962  0.311747  0.281301  0.035271     0.333333  0.521739  0.000000  1.000000       0.50
83   0.308916  0.273531  0.344378  0.304778  0.031785     0.333333  0.478261  0.000000  1.000000       0.50
84   0.281708  0.257962  0.314759  0.303542  0.030441     0.333333  0.434783  0.000000  1.000000       0.50
85   0.247802  0.233192  0.297691  0.277183  0.022743     0.333333  0.391304  0.000000  1.000000       0.50
86   0.248221  0.208068  0.284137  0.243822  0.013387     0.333333  0.347826  0.000000  1.000000       0.50
87   0.249895  0.214084  0.297691  0.244234  0.009913     0.333333  0.304348  0.000000  1.000000       0.50
88   0.267895  0.219391  0.304719  0.245881  0.009586     0.333333  0.260870  0.000000  1.000000       0.50
89   0.284638  0.233900  0.322289  0.263591  0.012939     0.333333  0.217391  0.000000  1.000000       0.50
90   0.282126  0.239561  0.325301  0.280066  0.016110     0.333333  0.173913  0.000000  1.000000       0.50
91   0.246965  0.234253  0.297189  0.277595  0.020758     0.333333  0.130435  0.000000  1.000000       0.50
92   0.255756  0.208068  0.271084  0.242998  0.012043     0.333333  0.086957  0.000000  1.000000       0.50
93   0.249058  0.208422  0.280622  0.251647  0.008945     0.333333  0.043478  0.000000  1.000000       0.50
94   0.260360  0.210899  0.255522  0.245058  0.012806     0.333333  0.000000  0.000000  1.000000       0.50
95   0.226873  0.210899  0.277610  0.254530  0.010288     0.166667  1.000000  0.000000  0.967742       0.50
96   0.218083  0.205237  0.262048  0.223229  0.021896     0.166667  0.956522  0.000000  0.967742       0.50
97   0.250733  0.205945  0.266064  0.214168  0.021618     0.166667  0.913043  0.000000  0.967742       0.50
98   0.207618  0.212668  0.254518  0.246705  0.024559     0.166667  0.869565  0.000000  0.967742       0.50
99   0.172876  0.170913  0.208333  0.204283  0.031773     0.166667  0.826087  0.000000  0.967742       0.50
100  0.150272  0.156051  0.159137  0.170099  0.045293     0.166667  0.782609  0.000000  0.967742       0.50
101  0.254500  0.207360  0.144076  0.147446  0.059939     0.166667  0.739130  0.000000  0.967742       0.50
102  0.182503  0.218330  0.185241  0.249588  0.062275     0.166667  0.695652  0.000000  0.967742       0.50
103  0.439096  0.371196  0.211847  0.178336  0.051853     0.166667  0.652174  0.000000  0.967742       0.50
104  0.432817  0.393489  0.481928  0.432043  0.031519     0.166667  0.608696  0.000000  0.967742       0.50
105  0.391377  0.371550  0.470382  0.425865  0.025890     0.166667  0.565217  0.000000  0.967742       0.50
106  0.373797  0.343241  0.449297  0.385091  0.030683     0.166667  0.521739  0.000000  0.967742       0.50
107  0.285894  0.326256  0.340361  0.367792  0.029945     0.166667  0.478261  0.000000  0.967742       0.50
108  0.344077  0.292640  0.332831  0.281301  0.030405     0.166667  0.434783  0.000000  0.967742       0.50
109  0.352449  0.291224  0.391064  0.338550  0.023554     0.166667  0.391304  0.000000  0.967742       0.50
110  0.337798  0.298655  0.412149  0.346787  0.012879     0.166667  0.347826  0.000000  0.967742       0.50
111  0.338217  0.282024  0.400602  0.332372  0.008678     0.166667  0.304348  0.000000  0.967742       0.50
112  0.335287  0.279547  0.407631  0.332784  0.007565     0.166667  0.260870  0.000000  0.967742       0.50
